*Line, ����Ͽ�糧~ĵ����500kV��·����,SZJ
*Parts,18
*Part, Head, 1,     SZJ双回路直线转角塔右�?      S2701S-T0307-01
*Node,56
         1,   1442.857143,   1442.857143,  58690.476190
         2,   1300.000000,   1300.000000,  61500.000000
         3,   8600.000000,   1300.000000,  61500.000000
         4,   8600.000000,   1300.000000,  59500.000000
         5,  13100.000000,   1300.000000,  61500.000000
         6,   3232.142857,   1407.142857,  58892.857143
         7,   5021.428571,   1371.428571,  59095.238095
         8,   6810.714286,   1335.714286,  59297.619048
         9,   3125.000000,   1300.000000,  61500.000000
        10,   4950.000000,   1300.000000,  61500.000000
        11,   6775.000000,   1300.000000,  61500.000000
        12,  10100.000000,   1300.000000,  61500.000000
        13,  11600.000000,   1300.000000,  61500.000000
        14,  10100.000000,   1300.000000,  60166.666667
        15,  11600.000000,   1300.000000,  60833.333333
        16,   2309.707573,   1369.239272,  60138.294318
        17,   4119.391056,   1337.453524,  60239.064699
        18,   5929.618658,   1318.802661,  60340.502548
        19,   7740.414300,   1300.000000,  60442.011726
        20,   1442.857143,  -1442.857143,  58690.476190
        21,   8600.000000,  -1300.000000,  59500.000000
        22,   3232.142857,  -1407.142857,  58892.857143
        23,   5021.428571,  -1371.428571,  59095.238095
        24,   6810.714286,  -1335.714286,  59297.619048
        25,   2348.711063,      0.000000,  58792.934718
        26,   4138.284980,      0.000000,  58995.348268
        27,   5927.874105,      0.000000,  59197.763538
        28,   7717.479675,      0.000000,  59400.180668
        29,  13100.000000,  -1300.000000,  61500.000000
        30,  10100.000000,  -1300.000000,  60166.666667
        31,  11600.000000,  -1300.000000,  60833.333333
        32,   9350.000000,      0.000000,  59833.333333
        33,  10850.000000,      0.000000,  60500.000000
        34,  12350.000000,      0.000000,  61166.666667
        35,   1300.000000,  -1300.000000,  61500.000000
        36,   8600.000000,  -1300.000000,  61500.000000
        37,   3125.000000,  -1300.000000,  61500.000000
        38,   4950.000000,  -1300.000000,  61500.000000
        39,   6775.000000,  -1300.000000,  61500.000000
        40,  10100.000000,  -1300.000000,  61500.000000
        41,  11600.000000,  -1300.000000,  61500.000000
        42,   2212.500000,      0.000000,  61500.000000
        43,   4037.500000,      0.000000,  61500.000000
        44,   5862.500000,      0.000000,  61500.000000
        45,   7687.500000,      0.000000,  61500.000000
        46,   9350.000000,      0.000000,  61500.000000
        47,  10850.000000,      0.000000,  61500.000000
        48,  12350.000000,      0.000000,  61500.000000
        49,   8600.000000,      0.000000,  59500.000000
        50,   2309.611111,  -1355.985829,  60137.678168
        51,   4119.391056,  -1337.453524,  60239.064699
        52,   5929.618658,  -1318.802661,  60340.502548
        53,   7740.414300,  -1300.000000,  60442.011726
        54,  13100.000000,      0.000000,  61500.000000
        55,  12600.000000,   1300.000000,  61277.777778
        56,  12600.000000,  -1300.000000,  61277.777778
*Element_Beam3D, 127
       1,       2,       9,     -0.015226,     -0.999015,     -0.041681,  Q345,     L90x7
       2,       9,      10,     -0.015226,     -0.999015,     -0.041681,  Q345,     L90x7
       3,      10,      11,     -0.015226,     -0.999015,     -0.041681,  Q345,     L90x7
       4,      11,       3,     -0.015226,     -0.999015,     -0.041681,  Q345,     L90x7
       5,       3,      12,     -0.015226,     -0.999015,     -0.041681,  Q345,     L90x7
       6,      12,      13,     -0.015226,     -0.999015,     -0.041681,  Q345,     L90x7
       7,      13,       5,     -0.015226,     -0.999015,     -0.041681,  Q345,     L90x7
       8,       4,       8,     -0.015226,     -0.999015,     -0.041681,  Q345,    L100x8
       9,       8,       7,     -0.015226,     -0.999015,     -0.041681,  Q345,    L100x8
      10,       7,       6,     -0.015226,     -0.999015,     -0.041681,  Q345,    L100x8
      11,       6,       1,     -0.015226,     -0.999015,     -0.041681,  Q345,    L100x8
      12,       5,      55,     -0.015226,     -0.999015,     -0.041681,  Q345,     L63x5
      13,      55,      15,     -0.015226,     -0.999015,     -0.041681,  Q345,     L63x5
      14,      15,      14,     -0.015226,     -0.999015,     -0.041681,  Q345,     L63x5
      15,      14,       4,     -0.015226,     -0.999015,     -0.041681,  Q345,     L63x5
      16,       1,      16,     -0.015226,     -0.999015,     -0.041681,  Q345,     L70x5
      17,      16,       9,     -0.015226,     -0.999015,     -0.041681,  Q345,     L70x5
      18,       6,       2,      0.015226,      0.999015,      0.041681,  Q345,     L50x5
      19,       6,      10,     -0.015226,     -0.999015,     -0.041681,  Q345,     L63x5
      20,       7,      17,      0.015226,      0.999015,      0.041681,  Q345,     L63x5
      21,      17,       9,      0.015226,      0.999015,      0.041681,  Q345,     L63x5
      22,       7,      11,     -0.015226,     -0.999015,     -0.041681,  Q345,     L70x5
      23,       8,      18,      0.015226,      0.999015,      0.041681,  Q345,     L70x5
      24,      18,      10,      0.015226,      0.999015,      0.041681,  Q345,     L70x5
      25,       8,       3,     -0.015226,     -0.999015,     -0.041681,  Q345,     L63x5
      26,       4,      19,      0.015226,      0.999015,      0.041681,  Q345,     L63x5
      27,      19,      11,      0.015226,      0.999015,      0.041681,  Q345,     L63x5
      28,      14,       3,      0.015226,      0.999015,      0.041681,  Q345,     L50x4
      29,      14,      12,     -0.015226,     -0.999015,     -0.041681,  Q345,     L40x4
      30,      15,      12,      0.015226,      0.999015,      0.041681,  Q345,     L40x4
      31,      15,      13,     -0.015226,     -0.999015,     -0.041681,  Q345,     L40x4
      32,      21,      24,      0.112390,     -0.000000,     -0.993664,  Q345,    L100x8
      33,      24,      23,      0.112390,     -0.000000,     -0.993664,  Q345,    L100x8
      34,      23,      22,      0.112390,     -0.000000,     -0.993664,  Q345,    L100x8
      35,      22,      20,      0.112390,     -0.000000,     -0.993664,  Q345,    L100x8
      36,      29,      56,     -0.112390,      0.000000,      0.993664,  Q345,     L63x5
      37,      56,      31,     -0.112390,      0.000000,      0.993664,  Q345,     L63x5
      38,      31,      30,     -0.112390,      0.000000,      0.993664,  Q345,     L63x5
