L20x3	  , 0.63	     , 0.17	    , 0.8	      , 1.132
L20x4	  , 0.78	     , 0.22	    , 1	        , 1.459
L25x3	  , 1.29	     , 0.34	    , 1.63	    , 1.432
L25x4	  , 1.62	     , 0.43	    , 2.05	    , 1.859
L30x3	  , 2.31	     , 0.61	    , 2.92	    , 1.749
L30x4	  , 2.92	     , 0.77	    , 3.69	    , 2.276
L30x5	  , 3.37	     , 0.91	    , 4.28	    , 2.746
L30x6	  , 3.79	     , 1.04	    , 4.83	    , 3.206
L36x3	  , 4.09	     , 1.07	    , 5.16	    , 2.109
L36x4	  , 5.22	     , 1.37	    , 6.59	    , 2.756
L36x5	  , 6.24	     , 1.65	    , 7.89	    , 3.382
L40x3	  , 5.69	     , 1.49	    , 7.18	    , 2.359
L40x4	  , 7.29	     , 1.91	    , 9.2	      , 3.086
L40x5	  , 8.76	     , 2.3	    , 11.06	    , 3.791
L40x6	  , 9.79	     , 2.58	    , 12.37	    , 4.415
L45x3	  , 8.2	       , 2.14	    , 10.34	    , 2.659
L45x4	  , 10.56	     , 2.75	    , 13.31	    , 3.486
L45x5	  , 12.74	     , 3.33	    , 16.07	    , 4.292
L45x6	  , 14.76	     , 3.89	    , 18.65	    , 5.076
L50x3	  , 11.37	     , 2.98	    , 14.35	    , 2.971
L50x4	  , 14.7	     , 3.82	    , 18.52	    , 3.897
L50x5	  , 17.79	     , 4.64	    , 22.43	    , 4.803
L50x6	  , 20.68	     , 5.42	    , 26.1	    , 5.688
L56x3	  , 16.14	     , 4.24	    , 20.38	    , 3.343
L56x4	  , 20.92	     , 5.46	    , 26.38	    , 4.39
L56x5	  , 25.42	     , 6.61	    , 32.03	    , 5.415
L56x6	  , 29.66	     , 7.73	    , 37.39	    , 6.42
L56x7	  , 33.63	     , 8.82	    , 42.45	    , 7.404
L56x8	  , 37.37	     , 9.89	    , 47.26	    , 8.637
L60x5	  , 31.57	     , 8.21	    , 39.78	    , 5.829
L60x6	  , 36.89	     , 9.6	    , 46.49	    , 6.914
L60x7	  , 41.92	     , 10.96	  , 52.88	    , 7.977
L60x8	  , 46.66	     , 12.29	  , 58.95	    , 9.02
L63x4	  , 30.17	     , 7.89	    , 38.06	    , 4.978
L63x5	  , 36.77	     , 9.57	    , 46.34	    , 6.143
L63x6	  , 43.03	     , 11.2	    , 54.23	    , 7.288
L63x7	  , 48.96	     , 12.79	  , 61.75	    , 8.412
L63x8	  , 54.56	     , 14.33	  , 68.89	    , 9.515
L63x10	, 64.85	     , 17.33	  , 82.18	    , 11.657
L65x5	  , 40.1	     , 10.5	    , 50.6	    , 6.367
L65x6	  , 46.9	     , 12.2	    , 59.1	    , 7.527
L65x7	  , 51.6	     , 13.7	    , 65.3	    , 8.658
L65x8	  , 58.3	     , 15.3	    , 73.6	    , 9.761
L70x4	  , 41.8	     , 10.99	  , 52.79	    , 5.57
L70x5	  , 51.08	     , 13.31	  , 64.39	    , 6.875
L70x6	  , 59.93	     , 15.61	  , 75.54	    , 8.16
L70x7	  , 68.35	     , 17.82	  , 86.17	    , 9.424
L70x8	  , 76.37	     , 19.98	  , 96.35	    , 10.667
L75x5	  , 63.3	     , 16.63	  , 79.93	    , 7.412
L75x6	  , 74.38	     , 19.51	  , 93.89	    , 8.797
L75x7	  , 84.96	     , 22.18	  , 107.14	  , 10.16
L75x8	  , 95.07	     , 24.86	  , 119.93	  , 11.503
L75x9	  , 104.71	   , 27.48	  , 132.19	  , 12.825
L75x10	, 113.92	   , 30.05	  , 143.97	  , 14.126
L80x5	  , 77.33	     , 20.25	  , 97.58	    , 7.912
L80x6	  , 90.98	     , 23.72	  , 114.7	    , 9.397
L80x7	  , 104.07	   , 27.09	  , 131.16	  , 10.86
L80x8	  , 116.6	     , 30.39	  , 146.99	  , 12.303
L80x9	  , 128.6	     , 33.61	  , 162.21	  , 13.725
L80x10	, 140.09	   , 36.77	  , 176.86	  , 15.126
L90x6	  , 131.26	   , 34.28	  , 165.54	  , 10.637
L90x7	  , 150.47	   , 39.18	  , 189.65	  , 12.301
L90x8	  , 168.97	   , 43.97	  , 212.94	  , 13.944
L90x9	  , 186.77	   , 48.66	  , 235.43	  , 15.566
L90x10	, 203.9	     , 53.26	  , 257.16	  , 17.167
L90x12	, 236.21	   , 62.22	  , 298.43	  , 20.306
L100x6	, 181.98	   , 47.92	  , 229.9	    , 11.932
L100x7	, 208.97	   , 54.74	  , 263.71	  , 13.796
L100x8	, 235.07	   , 61.41	  , 296.48	  , 15.638
L100x9	, 260.28	   , 67.95	  , 328.23	  , 17.462
L100x10	, 284.68	   , 74.35	  , 359.03	  , 19.261
L100x12	, 330.95	   , 86.84	  , 417.79	  , 22.8
L100x14	, 374.06	   , 99	      , 473.06	  , 26.256
L100x16	, 414.16	   , 110.89	  , 525.05	  , 29.627
L110x7	, 280.94	   , 73.38	  , 354.32	  , 15.196
L110x8	, 316.49	   , 82.42	  , 398.91	  , 17.238
L110x10	, 384.39	   , 99.98	  , 484.37	  , 21.261
L110x12	, 448.17	   , 116.93	  , 565.1	    , 25.2
L110x14	, 508.01	   , 133.4	  , 641.41	  , 29.056
L125x8	, 470.89	   , 123.16	  , 594.05	  , 19.75
L125x10	, 573.89	   , 149.46	  , 723.35	  , 24.373
L125x12	, 671.44	   , 174.88	  , 846.32	  , 28.912
L125x14	, 763.73	   , 199.57	  , 963.3	    , 33.367
L125x16	, 850.98	   , 223.65	  , 1074.63	  , 37.739
L140x10	, 817.27	   , 212.04	  , 1029.31	  , 27.373
L140x12	, 958.79	   , 248.57	  , 1207.36	  , 32.512
L140x14	, 1093.56	   , 284.06	  , 1377.62	  , 37.567
L140x16	, 1221.81	   , 318.67	  , 1540.48	  , 42.539
L150x8	, 827.49	   , 215.25	  , 1042.74	  , 23.75
L150x10	, 1012.79	   , 262.21	  , 1275	    , 29.373
L150x12	, 1189.97	   , 307.73	  , 1497.7	  , 34.912
L150x14	, 1359.3	   , 351.98	  , 1711.28	  , 40.367
L150x15	, 1441.09	   , 373.69	  , 1814.78	  , 43.063
L150x16	, 1521.02	   , 395.14	  , 1916.16	  , 45.739
L160x10	, 1237.3	   , 321.76	  , 1559.06	  , 31.502
L160x12	, 1455.68	   , 377.49	  , 1833.17	  , 37.441
L160x14	, 1665.02	   , 431.7	  , 2096.72	  , 43.296
L160x16	, 1865.57	   , 484.59	  , 2350.16	  , 49.067
L180x12	, 2100.1	   , 542.61	  , 2642.71	  , 42.241
L180x14	, 2407.42	   , 621.53	  , 3028.95	  , 48.896
L180x16	, 2703.37	   , 698.6	  , 3401.97	  , 55.467
L180x18	, 2988.24	   , 762.01	  , 3750.25	  , 61.055
L200x14	, 3343.26	   , 863.83	  , 4207.09	  , 54.642
L200x16	, 3760.89	   , 971.41	  , 4732.3	  , 62.013
L200x18	, 4164.54	   , 1076.74	, 5241.28	  , 69.301
L200x20	, 4554.55	   , 1180.04	, 5734.59	  , 76.505
L200x24	, 5294.97	   , 1381.53	, 6676.5	  , 90.661
L220x16	, 5063.73	   , 1310.99	, 6374.72	  , 68.664
L220x18	, 5615.32	   , 1453.27	, 7068.59	  , 76.752
L220x20	, 6150.08	   , 1592.9	  , 7742.98	  , 84.756
L220x22	, 6668.37	   , 1730.1	  , 8398.47	  , 92.676
L220x24	, 7170.55	   , 1865.11	, 9035.66	  , 100.512
L220x26	, 7656.98	   , 1998.17	, 9655.15	  , 108.264
L250x18	, 8369.04	   , 2167.41	, 10536.45	, 87.842
L250x20	, 9181.94	   , 2376.74	, 11558.68	, 97.045
L250x24	, 10742.67	 , 2785.19	, 13527.86	, 115.201
L250x26	, 11491.33	 , 2984.84	, 14476.17	, 124.154
L250x28	, 12219.39	 , 3181.81	, 15401.2	  , 133.022
L250x30	, 12927.26	 , 3376.34	, 16303.6	  , 141.807
L250x32	, 13615.32	 , 3568.71	, 17184.03	, 150.508
L250x35	, 14611.16	 , 3853.72	, 18464.88	, 163.402
D23.94       , 1.611e-8	 , 1.611e-8	, 3.223e-8	, 3.390e-4
D27.63       , 2.859e-8	 , 2.859e-8	, 5.718e-3	, 4.516e-4
D47.35       , 24.66e-8	 , 24.66e-8	, 49.32e-8	, 13.22e-4
